Time	Node	Type	Packets	
4	Node0	CacheHits	0
4	Node0	CacheMisses	179
4	Node1	CacheHits	0
4	Node1	CacheMisses	160
4	Node2	CacheHits	40
4	Node2	CacheMisses	139
4	Node3	CacheHits	0
4	Node3	CacheMisses	202
4	Node4	CacheHits	0
4	Node4	CacheMisses	162
4	Node5	CacheHits	0
4	Node5	CacheMisses	226
4	Node6	CacheHits	0
4	Node6	CacheMisses	275
4	Node7	CacheHits	0
4	Node7	CacheMisses	180
4	Node8	CacheHits	0
4	Node8	CacheMisses	211
4	Node9	CacheHits	0
4	Node9	CacheMisses	225
4	Node10	CacheHits	0
4	Node10	CacheMisses	222
4	Node11	CacheHits	0
4	Node11	CacheMisses	160
4	Node12	CacheHits	0
4	Node12	CacheMisses	189
4	Node13	CacheHits	48
4	Node13	CacheMisses	160
4	Node14	CacheHits	0
4	Node14	CacheMisses	182
4	Node15	CacheHits	0
4	Node15	CacheMisses	168
4	Node16	CacheHits	36
4	Node16	CacheMisses	196
4	Node17	CacheHits	0
4	Node17	CacheMisses	217
4	Node18	CacheHits	0
4	Node18	CacheMisses	168
4	Node19	CacheHits	0
4	Node19	CacheMisses	164
4	Node20	CacheHits	0
4	Node20	CacheMisses	178
4	Node21	CacheHits	0
4	Node21	CacheMisses	177
4	Node22	CacheHits	0
4	Node22	CacheMisses	156
4	Node23	CacheHits	0
4	Node23	CacheMisses	177
4	Node24	CacheHits	12
4	Node24	CacheMisses	141
