Time	Node	Type	Packets	
1	Node0	CacheHits	0
1	Node0	CacheMisses	47
1	Node1	CacheHits	0
1	Node1	CacheMisses	40
1	Node2	CacheHits	10
1	Node2	CacheMisses	34
1	Node3	CacheHits	0
1	Node3	CacheMisses	52
1	Node4	CacheHits	0
1	Node4	CacheMisses	42
1	Node5	CacheHits	0
1	Node5	CacheMisses	58
1	Node6	CacheHits	0
1	Node6	CacheMisses	71
1	Node7	CacheHits	0
1	Node7	CacheMisses	45
1	Node8	CacheHits	0
1	Node8	CacheMisses	52
1	Node9	CacheHits	0
1	Node9	CacheMisses	57
1	Node10	CacheHits	0
1	Node10	CacheMisses	57
1	Node11	CacheHits	0
1	Node11	CacheMisses	40
1	Node12	CacheHits	0
1	Node12	CacheMisses	48
1	Node13	CacheHits	12
1	Node13	CacheMisses	40
1	Node14	CacheHits	0
1	Node14	CacheMisses	47
1	Node15	CacheHits	0
1	Node15	CacheMisses	42
1	Node16	CacheHits	9
1	Node16	CacheMisses	49
1	Node17	CacheHits	0
1	Node17	CacheMisses	55
1	Node18	CacheHits	0
1	Node18	CacheMisses	42
1	Node19	CacheHits	0
1	Node19	CacheMisses	41
1	Node20	CacheHits	0
1	Node20	CacheMisses	46
1	Node21	CacheHits	0
1	Node21	CacheMisses	45
1	Node22	CacheHits	0
1	Node22	CacheMisses	39
1	Node23	CacheHits	0
1	Node23	CacheMisses	45
1	Node24	CacheHits	3
1	Node24	CacheMisses	36
2	Node0	CacheHits	0
2	Node0	CacheMisses	44
2	Node1	CacheHits	0
2	Node1	CacheMisses	40
2	Node2	CacheHits	10
2	Node2	CacheMisses	35
2	Node3	CacheHits	0
2	Node3	CacheMisses	50
2	Node4	CacheHits	0
2	Node4	CacheMisses	40
2	Node5	CacheHits	0
2	Node5	CacheMisses	56
2	Node6	CacheHits	0
2	Node6	CacheMisses	68
2	Node7	CacheHits	0
2	Node7	CacheMisses	45
2	Node8	CacheHits	0
2	Node8	CacheMisses	53
2	Node9	CacheHits	0
2	Node9	CacheMisses	56
2	Node10	CacheHits	0
2	Node10	CacheMisses	55
2	Node11	CacheHits	0
2	Node11	CacheMisses	40
2	Node12	CacheHits	0
2	Node12	CacheMisses	47
2	Node13	CacheHits	12
2	Node13	CacheMisses	40
2	Node14	CacheHits	0
2	Node14	CacheMisses	45
2	Node15	CacheHits	0
2	Node15	CacheMisses	42
2	Node16	CacheHits	9
2	Node16	CacheMisses	49
2	Node17	CacheHits	0
2	Node17	CacheMisses	54
2	Node18	CacheHits	0
2	Node18	CacheMisses	42
2	Node19	CacheHits	0
2	Node19	CacheMisses	41
2	Node20	CacheHits	0
2	Node20	CacheMisses	44
2	Node21	CacheHits	0
2	Node21	CacheMisses	44
2	Node22	CacheHits	0
2	Node22	CacheMisses	39
2	Node23	CacheHits	0
2	Node23	CacheMisses	44
2	Node24	CacheHits	3
2	Node24	CacheMisses	35
3	Node0	CacheHits	0
3	Node0	CacheMisses	44
3	Node1	CacheHits	0
3	Node1	CacheMisses	40
3	Node2	CacheHits	10
3	Node2	CacheMisses	35
3	Node3	CacheHits	0
3	Node3	CacheMisses	50
3	Node4	CacheHits	0
3	Node4	CacheMisses	40
3	Node5	CacheHits	0
3	Node5	CacheMisses	56
3	Node6	CacheHits	0
3	Node6	CacheMisses	68
3	Node7	CacheHits	0
3	Node7	CacheMisses	45
3	Node8	CacheHits	0
3	Node8	CacheMisses	53
3	Node9	CacheHits	0
3	Node9	CacheMisses	56
3	Node10	CacheHits	0
3	Node10	CacheMisses	55
3	Node11	CacheHits	0
3	Node11	CacheMisses	40
3	Node12	CacheHits	0
3	Node12	CacheMisses	47
3	Node13	CacheHits	12
3	Node13	CacheMisses	40
3	Node14	CacheHits	0
3	Node14	CacheMisses	45
3	Node15	CacheHits	0
3	Node15	CacheMisses	42
3	Node16	CacheHits	9
3	Node16	CacheMisses	49
3	Node17	CacheHits	0
3	Node17	CacheMisses	54
3	Node18	CacheHits	0
3	Node18	CacheMisses	42
3	Node19	CacheHits	0
3	Node19	CacheMisses	41
3	Node20	CacheHits	0
3	Node20	CacheMisses	44
3	Node21	CacheHits	0
3	Node21	CacheMisses	44
3	Node22	CacheHits	0
3	Node22	CacheMisses	39
3	Node23	CacheHits	0
3	Node23	CacheMisses	44
3	Node24	CacheHits	3
3	Node24	CacheMisses	35
4	Node0	CacheHits	0
4	Node0	CacheMisses	44
4	Node1	CacheHits	0
4	Node1	CacheMisses	40
4	Node2	CacheHits	10
4	Node2	CacheMisses	35
4	Node3	CacheHits	0
4	Node3	CacheMisses	50
4	Node4	CacheHits	0
4	Node4	CacheMisses	40
4	Node5	CacheHits	0
4	Node5	CacheMisses	56
4	Node6	CacheHits	0
4	Node6	CacheMisses	68
4	Node7	CacheHits	0
4	Node7	CacheMisses	45
4	Node8	CacheHits	0
4	Node8	CacheMisses	53
4	Node9	CacheHits	0
4	Node9	CacheMisses	56
4	Node10	CacheHits	0
4	Node10	CacheMisses	55
4	Node11	CacheHits	0
4	Node11	CacheMisses	40
4	Node12	CacheHits	0
4	Node12	CacheMisses	47
4	Node13	CacheHits	12
4	Node13	CacheMisses	40
4	Node14	CacheHits	0
4	Node14	CacheMisses	45
4	Node15	CacheHits	0
4	Node15	CacheMisses	42
4	Node16	CacheHits	9
4	Node16	CacheMisses	49
4	Node17	CacheHits	0
4	Node17	CacheMisses	54
4	Node18	CacheHits	0
4	Node18	CacheMisses	42
4	Node19	CacheHits	0
4	Node19	CacheMisses	41
4	Node20	CacheHits	0
4	Node20	CacheMisses	44
4	Node21	CacheHits	0
4	Node21	CacheMisses	44
4	Node22	CacheHits	0
4	Node22	CacheMisses	39
4	Node23	CacheHits	0
4	Node23	CacheMisses	44
4	Node24	CacheHits	3
4	Node24	CacheMisses	35
